epoch,total,pde,ic,seis,bc
61,2.5432306528e-01,4.0412530303e-01,3.6373592447e-03,2.0505079627e-01,8.5485689342e-03
62,2.5116348267e-01,3.7746500969e-01,1.9351399969e-03,2.0413321257e-01,6.0574607924e-03
63,2.4967837334e-01,3.6399462819e-01,9.3683524756e-04,2.0382234454e-01,5.4441182874e-03
64,2.5013056397e-01,3.5786539316e-01,9.1642385814e-04,2.0424619317e-01,4.9021169543e-03
65,2.5178250670e-01,3.6825224757e-01,1.5010236530e-03,2.0503214002e-01,4.0969140828e-03
66,2.5311896205e-01,3.6939850450e-01,2.0342592616e-03,2.0561358333e-01,4.5789577998e-03
67,2.5319075584e-01,3.6768448353e-01,2.0610047504e-03,2.0562583208e-01,4.3579740450e-03
68,2.5206610560e-01,3.5549443960e-01,1.5965544153e-03,2.0511671901e-01,4.7702169977e-03
69,2.5045618415e-01,3.3131250739e-01,1.0173724731e-03,2.0444077253e-01,4.7304383479e-03
70,2.4955345690e-01,3.2294586301e-01,7.3354365304e-04,2.0397783816e-01,4.3734428473e-03
71,2.4974867702e-01,3.2450842857e-01,8.9606666006e-04,2.0388841629e-01,5.4031228647e-03
72,2.5022447109e-01,3.1104236841e-01,1.3268695911e-03,2.0405802131e-01,4.5808968134e-03
73,2.5076380372e-01,3.0103325844e-01,1.6952552833e-03,2.0424093306e-01,4.8842802644e-03
74,2.5100621581e-01,3.0898377299e-01,1.7594760284e-03,2.0425899327e-01,4.9830609933e-03
75,2.5038993359e-01,2.9050183296e-01,1.5204130905e-03,2.0411679149e-01,4.5423433185e-03
76,2.4978335202e-01,2.8478291631e-01,1.1691304389e-03,2.0395421982e-01,3.9680190384e-03
77,2.4934524298e-01,2.7076607943e-01,9.2055776622e-04,2.0391224325e-01,3.8441589568e-03
78,2.4938532710e-01,2.6433181763e-01,8.6152018048e-04,2.0401923358e-01,3.9612520486e-03
79,2.4956817925e-01,2.5683742762e-01,9.2618947383e-04,2.0418445766e-01,3.5595668014e-03
80,2.4982051551e-01,2.5944739580e-01,9.8209222779e-04,2.0427998900e-01,3.6019608378e-03
81,2.4971215427e-01,2.5458943844e-01,9.4712211285e-04,2.0424151421e-01,3.5099231172e-03
82,2.4947646260e-01,2.5235494971e-01,8.4551656619e-04,2.0410716534e-01,3.7141193170e-03
83,2.4915257096e-01,2.4584591389e-01,7.6226430247e-04,2.0396798849e-01,3.3200646285e-03
84,2.4893437326e-01,2.3143017292e-01,7.6296506450e-04,2.0389330387e-01,3.7596020848e-03
85,2.4902403355e-01,2.3000863194e-01,8.4214098752e-04,2.0388752222e-01,3.7247673608e-03
86,2.4929533899e-01,2.3430037498e-01,9.3383458443e-04,2.0390358567e-01,4.5718052424e-03
87,2.4912226200e-01,2.2044232488e-01,9.7264791839e-04,2.0389428735e-01,3.9936224930e-03
88,2.4890278280e-01,2.0897808671e-01,9.4713346334e-04,2.0385614038e-01,3.7342580035e-03
89,2.4894708395e-01,2.1701845527e-01,8.9529261459e-04,2.0382325351e-01,3.4534409642e-03
90,2.4874168634e-01,2.0237831771e-01,8.6531270063e-04,2.0383071899e-01,3.4220668022e-03
91,2.4879463017e-01,2.0186889172e-01,8.7413197616e-04,2.0387929678e-01,2.8433555271e-03
92,2.4879023433e-01,1.9228890538e-01,9.0053171152e-04,2.0393460989e-01,3.0518858694e-03
93,2.4875876307e-01,1.8811824918e-01,9.1033440549e-04,2.0395624638e-01,2.5573624298e-03
94,2.4867208302e-01,1.8154633045e-01,8.8859791867e-04,2.0392960310e-01,3.0752036255e-03
95,2.4862997234e-01,1.8395945430e-01,8.5283716908e-04,2.0387469232e-01,2.9377159663e-03
96,2.4853429198e-01,1.8088884652e-01,8.3306065062e-04,2.0382535458e-01,2.9465795960e-03
97,2.4856406450e-01,1.8095068634e-01,8.4506883286e-04,2.0380365849e-01,3.1027977820e-03
98,2.4858090281e-01,1.7695227265e-01,8.7769929087e-04,2.0380561054e-01,3.3163640182e-03
99,2.4844114482e-01,1.6550499201e-01,9.0420764172e-04,2.0381170511e-01,3.1096360181e-03
100,2.4843487144e-01,1.6497415304e-01,9.0618582908e-04,2.0380783081e-01,2.7960254811e-03
101,2.4855948985e-01,1.7022302747e-01,8.8756624609e-04,2.0379678905e-01,3.3213442657e-03
102,2.4833570421e-01,1.5861052275e-01,8.6627725977e-04,2.0379278064e-01,2.9267256614e-03
103,2.4820980430e-01,1.5005224943e-01,8.6029700469e-04,2.0380616188e-01,2.7087477501e-03
104,2.4846225977e-01,1.6111986339e-01,8.7006390095e-04,2.0383238792e-01,2.6219224092e-03
105,2.4832309783e-01,1.5011213720e-01,8.8307994884e-04,2.0385542512e-01,2.4264301173e-03
106,2.4840438366e-01,1.5255512297e-01,8.8546972256e-04,2.0386087894e-01,2.4686034303e-03
107,2.4827215075e-01,1.4532910287e-01,8.7558827363e-04,2.0384776592e-01,2.4158861488e-03
108,2.4821148813e-01,1.4301389456e-01,8.6156709585e-04,2.0382565260e-01,2.3703100160e-03
109,2.4812470376e-01,1.3824465871e-01,8.5479510017e-04,2.0380803943e-01,2.4088257924e-03
110,2.4820087850e-01,1.4165377617e-01,8.5833377670e-04,2.0380151272e-01,2.3330692202e-03
111,2.4823179841e-01,1.3986758888e-01,8.6613418534e-04,2.0380242169e-01,2.7198642492e-03
112,2.4825087190e-01,1.4046053588e-01,8.6902640760e-04,2.0380349457e-01,2.4617556483e-03
113,2.4820716679e-01,1.3684515655e-01,8.6425512563e-04,2.0380127430e-01,2.5553696323e-03
114,2.4803233147e-01,1.2683761120e-01,8.5617741570e-04,2.0379859209e-01,2.5908986572e-03
115,2.4803152680e-01,1.2737509608e-01,8.5084198508e-04,2.0379880071e-01,2.2419104353e-03
116,2.4818234146e-01,1.3436435163e-01,8.5083732847e-04,2.0380307734e-01,2.0999130793e-03
117,2.4803985655e-01,1.2516823411e-01,8.5367425345e-04,2.0380783081e-01,2.1628187969e-03
118,2.4792754650e-01,1.1869158596e-01,8.5494859377e-04,2.0380783081e-01,2.0662706811e-03
119,2.4817444384e-01,1.3125695288e-01,8.5284473607e-04,2.0380151272e-01,1.9059034530e-03
120,2.4799707532e-01,1.2176837772e-01,8.4892410086e-04,2.0379158854e-01,1.9741037395e-03
121,2.4807615578e-01,1.2543106079e-01,8.4669969510e-04,2.0378166437e-01,1.9538032357e-03
122,2.4793076515e-01,1.1921659112e-01,8.4734073607e-04,2.0377406478e-01,1.5671013389e-03
123,2.4793106318e-01,1.1764596403e-01,8.4954418708e-04,2.0376850665e-01,1.7645350890e-03
124,2.4788837135e-01,1.1353533715e-01,8.5148774087e-04,2.0376317203e-01,2.0794691518e-03
125,2.4794504046e-01,1.1712490022e-01,8.5175025743e-04,2.0375725627e-01,1.7123282887e-03
126,2.4791750312e-01,1.1600596458e-01,8.5128692444e-04,2.0375140011e-01,1.5149253886e-03
