# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  5.00000E-05
# t0                  :  1.20000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
 -0.110150002      -1.49423973E-09  -1.4942397319472889E-019
 -0.110100001      -1.55920410E-09  -1.5592040991663226E-019
 -0.110050000      -1.62696012E-09  -1.6269601221807762E-019
 -0.109999999      -1.69762615E-09  -1.6976261507650746E-019
 -0.109949999      -1.77132597E-09  -1.7713259747864641E-019
 -0.109899998      -1.84818805E-09  -1.8481880470488932E-019
 -0.109849997      -1.92834637E-09  -1.9283463714714344E-019
 -0.109800003      -2.01194061E-09  -2.0119406141105855E-019
 -0.109750003      -2.09911666E-09  -2.0991166582717824E-019
 -0.109700002      -2.19002549E-09  -2.1900254942863739E-019
 -0.109650001      -2.28482566E-09  -2.2848256620022769E-019
 -0.109600000      -2.38368125E-09  -2.3836812523825302E-019
 -0.109549999      -2.48676368E-09  -2.4867636838621367E-019
 -0.109499998      -2.59425170E-09  -2.5942517023480604E-019
 -0.109449998      -2.70633094E-09  -2.7063309371300192E-019
 -0.109399997      -2.82319590E-09  -2.8231958992819271E-019
 -0.109350003      -2.94504754E-09  -2.9450475391712416E-019
 -0.109300002      -3.07209658E-09  -3.0720965771280364E-019
 -0.109250002      -3.20456173E-09  -3.2045617270881620E-019
 -0.109200001      -3.34267125E-09  -3.3426712509054821E-019
 -0.109150000      -3.48666274E-09  -3.4866627363072668E-019
 -0.109099999      -3.63678354E-09  -3.6367835409834016E-019
 -0.109049998      -3.79329146E-09  -3.7932914587202047E-019
 -0.108999997      -3.95645472E-09  -3.9564547194004260E-019
 -0.108949997      -4.12655288E-09  -4.1265528771816662E-019
 -0.108900003      -4.30387725E-09  -4.3038772545855861E-019
 -0.108850002      -4.48873072E-09  -4.4887307204533042E-019
 -0.108800001      -4.68142991E-09  -4.6814299103914432E-019
 -0.108750001      -4.88230212E-09  -4.8823021181476629E-019
 -0.108700000      -5.09169151E-09  -5.0916915128595971E-019
 -0.108649999      -5.30995381E-09  -5.3099538099843356E-019
 -0.108599998      -5.53746027E-09  -5.5374602681013126E-019
 -0.108549997      -5.77459813E-09  -5.7745981330015185E-019
 -0.108499996      -6.02176931E-09  -6.0217693054198658E-019
 -0.108450003      -6.27939389E-09  -6.2793938937488745E-019
 -0.108400002      -6.54790799E-09  -6.5479079935926167E-019
 -0.108350001      -6.82776591E-09  -6.8277659082127681E-019
 -0.108300000      -7.11944148E-09  -7.1194414807962403E-019
 -0.108250000      -7.42342765E-09  -7.4234276503659656E-019
 -0.108199999      -7.74023690E-09  -7.7402368958701114E-019
 -0.108149998      -8.07040390E-09  -8.0704039007173374E-019
 -0.108099997      -8.41448511E-09  -8.4144851086875859E-019
 -0.108050004      -8.77305784E-09  -8.7730578357536614E-019
